Job Type,EX_level_demand,Industry,Technical_Tool,Competitive Level,Client_Country,Hourly_Rate
Website Development,Expert,Technology,HTML,Competitive,United Arab Emirates,25.0
Web Scraping,Intermediate,Entertainment,Python,Competitive,Kuwait,8.0
Website Development,Intermediate,Technology,Python,Competitive,United States,20.0
Website Development,Intermediate,Technology,Django,Competitive,Australia,15.0
Website Development,Expert,Technology,Python,Competitive,United States,60.0
Web Scraping,Intermediate,Real Estate,Excel,Competitive,Australia,8.0
Web Scraping,Intermediate,Technology,Python,Uncompetitive,United States,6.0
Website Development,Expert,Technology,React,Extremely Competitive,United States,40.0
Web Scraping,Expert,Technology,Python,Competitive,United States,20.0
Web Scraping,Expert,Technology,TensorFlow,Competitive,Australia,20.0
Website Development,Intermediate,Technology,CSS,Extremely Competitive,Australia,15.0
Web Scraping,Expert,Manufacturing,SQL,Competitive,United States,5.0
Web Scraping,Expert,Technology,Excel,Competitive,United States,3.0
Web Scraping,Expert,Technology,Python,Competitive,Australia,15.0
Web Scraping,Expert,Manufacturing,Python,Competitive,United Kingdom,20.0
Web Scraping,Intermediate,Real Estate,SQL,Competitive,Saudi Arabia,25.0
Web Scraping,Expert,Education,Python,Competitive,United States,10.0
Website Development,Expert,Technology,SQL,Competitive,Israel,40.0
Website Development,Expert,Technology,CSS,Competitive,Italy,10.0
Web Scraping,Intermediate,Education,Excel,Uncompetitive,United States,25.0
Web Scraping,Expert,Healthcare,AWS,Competitive,United Kingdom,5.0
Website Development,Expert,Technology,HTML,Extremely Competitive,Germany,20.0
Website Development,Intermediate,Retail,Vue.js,Competitive,United States,15.0
Website Development,Intermediate,Technology,SQL,Competitive,Australia,20.0
Web Scraping,Expert,Real Estate,Excel,Competitive,Australia,20.0
Web Scraping,Expert,Technology,Python,Competitive,India,20.0
Website Development,Intermediate,Technology,HTML,Extremely Competitive,Canada,15.0
Web Scraping,Intermediate,Retail,HTML,Competitive,United States,25.0
Web Scraping,Intermediate,Technology,Excel,Competitive,United Kingdom,4.0
Web Scraping,Expert,Technology,Pandas,Uncompetitive,Pakistan,10.0
Web Scraping,Intermediate,Retail,Python,Competitive,United Kingdom,8.0
Web Scraping,Intermediate,Technology,PHP,Competitive,Poland,10.0
Web Scraping,Expert,Real Estate,Excel,Extremely Competitive,United States,35.0
Web Scraping,Intermediate,Technology,HTML,Competitive,France,8.0
Web Scraping,Expert,Education,Python,Competitive,United States,25.0
Website Development,Intermediate,Technology,Node.js,Competitive,Ireland,20.0
Web Scraping,Intermediate,Technology,JavaScript,Competitive,United States,10.0
Website Development,Intermediate,Technology,Node.js,Competitive,Canada,15.0
Web Scraping,Intermediate,Technology,Python,Competitive,Hong Kong,5.0
Web Scraping,Intermediate,Manufacturing,Excel,Competitive,United States,8.0
Web Scraping,Expert,Technology,PHP,Competitive,United States,10.0
Website Development,Expert,Technology,MongoDB,Competitive,United States,25.0
Web Scraping,Expert,Technology,SQL,Extremely Competitive,Australia,35.0
Web Scraping,Entry Level,Education,Excel,Competitive,United States,5.0
Website Development,Expert,Technology,Ruby,Uncompetitive,Uruguay,30.0
Web Scraping,Entry Level,Education,Excel,Competitive,United States,20.0
Web Scraping,Intermediate,Technology,SQL,Competitive,Canada,5.0
Website Development,Intermediate,Technology,HTML,Extremely Competitive,United States,40.0
Web Scraping,Expert,Technology,Python,Competitive,United Arab Emirates,18.0
Web Scraping,Intermediate,Finance,Python,Competitive,United States,20.0
Web Scraping,Entry Level,Technology,Node.js,Uncompetitive,Switzerland,10.0
Website Development,Intermediate,Technology,Python,Competitive,United Kingdom,16.0
Web Scraping,Expert,Technology,Excel,Competitive,United Kingdom,18.0
Web Scraping,Entry Level,Transportation,PHP,Competitive,Turkey,5.0
Website Development,Entry Level,Technology,HTML,Competitive,United States,4.0
Web Scraping,Intermediate,Technology,SQL,Competitive,Australia,10.0
Website Development,Expert,Technology,SQL,Competitive,United States,9.0
Website Development,Expert,Retail,SQL,Competitive,United States,20.0
Website Development,Intermediate,Technology,SQL,Competitive,United States,30.0
Website Development,Intermediate,Technology,Django,Extremely Competitive,Czech Republic,10.0
Web Scraping,Intermediate,Technology,Python,Competitive,Netherlands,8.0
Website Development,Intermediate,Technology,CSS,Competitive,United States,15.0
Web Scraping,Expert,Entertainment,Python,Competitive,Germany,10.0
Website Development,Intermediate,Technology,HTML,Competitive,Israel,5.0
Website Development,Intermediate,Technology,Node.js,Competitive,United States,40.0
Web Scraping,Entry Level,Retail,SQL,Competitive,Canada,5.0
Website Development,Entry Level,Technology,Python,Competitive,Germany,12.0
Website Development,Intermediate,Technology,Django,Competitive,Czech Republic,20.0
Website Development,Intermediate,Technology,JavaScript,Competitive,United States,10.0
Web Scraping,Expert,Technology,Java,Uncompetitive,United States,5.0
Website Development,Intermediate,Technology,Vue.js,Competitive,United States,16.0
Website Development,Entry Level,Technology,Python,Competitive,United States,60.0
Web Scraping,Intermediate,Technology,Python,Competitive,United States,8.0
Web Scraping,Expert,Retail,Python,Competitive,United States,18.0
Website Development,Intermediate,Technology,HTML,Competitive,Germany,8.0
Web Scraping,Entry Level,Entertainment,Excel,Competitive,Australia,5.0
Web Scraping,Expert,Finance,Python,Competitive,United States,28.0
Web Scraping,Entry Level,Education,Excel,Competitive,United States,5.0
Website Development,Expert,Technology,SQL,Extremely Competitive,Canada,25.0
Web Scraping,Intermediate,Technology,Angular,Uncompetitive,United States,5.0
Website Development,Intermediate,Technology,React,Competitive,United States,16.0
Web Scraping,Entry Level,Technology,Excel,Competitive,United States,5.0
Web Scraping,Entry Level,Education,Excel,Competitive,United States,5.0
Website Development,Expert,Technology,HTML,Competitive,United States,25.0
Web Scraping,Expert,Technology,Python,Competitive,United States,25.0
Website Development,Expert,Technology,CSS,Competitive,Hong Kong,25.0
Website Development,Expert,Technology,Ruby,Competitive,United States,22.0
Web Scraping,Expert,Legal,Excel,Competitive,United States,18.0
Web Scraping,Expert,Technology,HTML,Competitive,United States,7.0
Website Development,Intermediate,Technology,HTML,Extremely Competitive,United Kingdom,40.0
Web Scraping,Expert,Technology,Pandas,Uncompetitive,India,10.0
Website Development,Intermediate,Technology,SQL,Competitive,United States,20.0
Website Development,Intermediate,Technology,SQL,Competitive,Switzerland,15.0
Website Development,Intermediate,Technology,Python,Competitive,Nigeria,15.0
Web Scraping,Entry Level,Marketing,JavaScript,Competitive,France,5.0
Web Scraping,Intermediate,Technology,Excel,Competitive,United States,8.0
Web Scraping,Expert,Technology,Python,Competitive,United States,4.0
Website Development,Expert,Technology,SQL,Competitive,United States,70.0
Website Development,Expert,Technology,JavaScript,Competitive,United States,65.0
Website Development,Expert,Technology,HTML,Competitive,United States,50.0
Web Scraping,Intermediate,Technology,Python,Competitive,United Kingdom,8.0
Website Development,Expert,Technology,JavaScript,Competitive,United States,25.0
Web Scraping,Intermediate,Retail,JavaScript,Competitive,United Kingdom,8.0
Web Scraping,Intermediate,Technology,Vue.js,Competitive,United States,40.0
Web Scraping,Entry Level,Education,Python,Competitive,United States,12.0
Website Development,Intermediate,Technology,SQL,Competitive,United States,30.0
Website Development,Expert,Technology,C#,Competitive,Switzerland,40.0
Website Development,Expert,Technology,HTML,Competitive,Canada,5.0
Website Development,Expert,Technology,React,Competitive,Israel,40.0
Website Development,Expert,Technology,Python,Uncompetitive,United States,20.0
Website Development,Expert,Technology,HTML,Extremely Competitive,France,25.0
Website Development,Expert,Technology,React,Competitive,Australia,15.0
Website Development,Intermediate,Technology,C#,Competitive,United States,25.0
Web Scraping,Intermediate,Technology,HTML,Competitive,France,15.0
Website Development,Expert,Technology,C#,Competitive,Norway,30.0
Website Development,Intermediate,Technology,JavaScript,Uncompetitive,United States,3.0
Website Development,Expert,Technology,Flutter,Competitive,United States,30.0
Website Development,Expert,Technology,HTML,Competitive,Dominican Republic,15.0
Website Development,Intermediate,Technology,HTML,Uncompetitive,United Kingdom,15.0
Website Development,Expert,Entertainment,HTML,Uncompetitive,United Arab Emirates,20.0
Website Development,Intermediate,Technology,SQL,Uncompetitive,United States,35.0
Website Development,Intermediate,Retail,WordPress,Uncompetitive,France,16.0
Website Development,Intermediate,Technology,HTML,Competitive,Pakistan,29.0
Website Development,Intermediate,Technology,HTML,Uncompetitive,United Kingdom,15.0
Website Development,Expert,Technology,WordPress,Competitive,United States,20.0
Website Development,Intermediate,Technology,SQL,Uncompetitive,Turkey,50.0
Website Development,Expert,Technology,Vue.js,Competitive,Netherlands,25.0
Website Development,Intermediate,Hospitality,WordPress,Competitive,United States,15.0
Website Development,Expert,Technology,HTML,Competitive,Dominican Republic,15.0
Website Development,Intermediate,Technology,WordPress,Competitive,United States,10.0
Website Development,Intermediate,Technology,HTML,Competitive,Puerto Rico,15.0
Website Development,Intermediate,Retail,HTML,Competitive,Canada,7.0
Website Development,Intermediate,Finance,HTML,Competitive,Lebanon,10.0
Website Development,Expert,Technology,CSS,Competitive,United States,40.0
Website Development,Expert,Technology,HTML,Competitive,Mexico,45.0
Website Development,Expert,Retail,PHP,Competitive,Germany,25.0
Website Development,Expert,Technology,HTML,Competitive,Australia,37.5
Website Development,Intermediate,Technology,HTML,Competitive,Pakistan,20.0
Website Development,Intermediate,Technology,CSS,Competitive,United States,5.0
Website Development,Intermediate,Technology,HTML,Competitive,United States,25.0
Website Development,Expert,Technology,HTML,Competitive,United States,25.0
Website Development,Expert,Technology,CSS,Competitive,Malaysia,25.0
Website Development,Intermediate,Technology,WordPress,Competitive,Ireland,15.0
Website Development,Intermediate,Retail,HTML,Uncompetitive,United States,25.0
Website Development,Entry Level,Manufacturing,WordPress,Uncompetitive,Iceland,15.0
Website Development,Intermediate,Technology,HTML,Competitive,Germany,5.0
Website Development,Intermediate,Technology,HTML,Competitive,Pakistan,15.0
Website Development,Intermediate,Technology,React,Extremely Competitive,United States,20.0
Website Development,Intermediate,Technology,PHP,Competitive,Kenya,5.0
Website Development,Expert,Retail,PHP,Competitive,Germany,30.0
Website Development,Intermediate,Technology,WordPress,Competitive,United States,6.0
Website Development,Intermediate,Technology,HTML,Uncompetitive,India,15.0
Website Development,Expert,Technology,Django,Competitive,United States,40.0
Website Development,Expert,Technology,CSS,Competitive,Germany,30.0
Website Development,Expert,Technology,HTML,Competitive,Canada,30.0
Website Development,Expert,Real Estate,Django,Competitive,United States,25.0
Website Development,Expert,Technology,HTML,Competitive,United States,60.0
Website Development,Intermediate,Technology,HTML,Uncompetitive,United States,30.0
Website Development,Intermediate,Technology,CSS,Competitive,United States,15.0
Website Development,Intermediate,Marketing,WordPress,Uncompetitive,United States,25.0
Website Development,Intermediate,Technology,WordPress,Competitive,Germany,15.0
Website Development,Expert,Technology,SQL,Competitive,Canada,25.0
Website Development,Entry Level,Technology,HTML,Competitive,New Zealand,12.0
Website Development,Intermediate,Technology,CSS,Competitive,United States,15.0
Website Development,Intermediate,Technology,Git,Competitive,Romania,16.0
Website Development,Intermediate,Technology,Angular,Competitive,India,15.0
Website Development,Intermediate,Entertainment,WordPress,Extremely Competitive,United States,35.0
Website Development,Intermediate,Technology,CSS,Competitive,Spain,15.0
Website Development,Intermediate,Technology,MongoDB,Competitive,India,5.0
Website Development,Intermediate,Technology,Git,Extremely Competitive,Saudi Arabia,8.0
Website Development,Expert,Technology,HTML,Competitive,Germany,3.0
Website Development,Entry Level,Technology,HTML,Competitive,United States,35.0
Website Development,Intermediate,Technology,HTML,Competitive,United States,25.0
Website Development,Expert,Technology,Node.js,Competitive,United States,40.0
Web Scraping,Expert,Technology,SQL,Competitive,Sweden,30.0
Website Development,Intermediate,Technology,CSS,Extremely Competitive,United Kingdom,30.0
Website Development,Expert,Technology,React,Competitive,United States,15.0
Website Development,Expert,Technology,WordPress,Competitive,Switzerland,10.0
Website Development,Intermediate,Technology,HTML,Competitive,United States,15.0
Website Development,Intermediate,Retail,WordPress,Competitive,United Kingdom,15.0
Website Development,Expert,Technology,CSS,Competitive,United States,65.0
Website Development,Expert,Technology,Ruby,Competitive,Netherlands,40.0
Website Development,Expert,Technology,React,Competitive,India,10.0
Website Development,Intermediate,Technology,HTML,Competitive,Germany,10.0
Website Development,Intermediate,Technology,PHP,Uncompetitive,United Kingdom,15.0
Website Development,Intermediate,Retail,PHP,Competitive,United Kingdom,15.0
Website Development,Intermediate,Technology,CSS,Competitive,India,15.0
Website Development,Intermediate,Technology,PHP,Competitive,India,15.0
Website Development,Intermediate,Retail,SQL,Competitive,United States,15.0
Website Development,Intermediate,Technology,HTML,Competitive,India,15.0
Website Development,Expert,Retail,SQL,Uncompetitive,Australia,10.0
Website Development,Expert,Technology,Django,Competitive,Estonia,30.0
Website Development,Intermediate,Technology,HTML,Competitive,India,10.0
Website Development,Intermediate,Education,SQL,Competitive,Spain,15.0
Website Development,Expert,Technology,SQL,Extremely Competitive,United States,25.0
Website Development,Intermediate,Technology,HTML,Competitive,Spain,16.0
Website Development,Expert,Technology,CSS,Competitive,United States,5.0
Website Development,Intermediate,Technology,SQL,Competitive,Australia,10.0
Website Development,Entry Level,Technology,WordPress,Competitive,India,3.0
Website Development,Expert,Technology,HTML,Competitive,United States,40.0
Website Development,Expert,Technology,WordPress,Competitive,Canada,15.0
Website Development,Expert,Technology,HTML,Uncompetitive,United States,20.0
Website Development,Intermediate,Technology,MongoDB,Competitive,India,3.0
Website Development,Expert,Retail,WordPress,Competitive,United States,10.0
Website Development,Intermediate,Technology,HTML,Competitive,Australia,10.0
Website Development,Intermediate,Retail,WordPress,Competitive,United States,10.0
Website Development,Expert,Technology,HTML,Competitive,United States,35.0
Website Development,Expert,Technology,SQL,Competitive,Singapore,10.0
Website Development,Entry Level,Technology,HTML,Competitive,Egypt,12.0
Website Development,Intermediate,Retail,HTML,Competitive,United States,15.0
Website Development,Intermediate,Technology,HTML,Competitive,United States,40.0
Website Development,Intermediate,Technology,SQL,Competitive,United States,5.0
Website Development,Expert,Technology,Flutter,Extremely Competitive,United States,25.0
Website Development,Intermediate,Technology,HTML,Competitive,Australia,17.0
Website Development,Intermediate,Healthcare,HTML,Competitive,United States,5.0
Website Development,Intermediate,Technology,HTML,Uncompetitive,Australia,10.0
Website Development,Expert,Technology,CSS,Extremely Competitive,Singapore,15.0
Website Development,Expert,Technology,HTML,Extremely Competitive,United States,25.0
Website Development,Expert,Technology,HTML,Competitive,United States,65.0
Website Development,Expert,Technology,React,Competitive,United States,24.0
Website Development,Intermediate,Marketing,HTML,Extremely Competitive,United States,15.0
Website Development,Expert,Technology,HTML,Competitive,United States,33.0
Website Development,Intermediate,Technology,HTML,Extremely Competitive,Netherlands,13.0
Website Development,Expert,Technology,MongoDB,Competitive,United States,25.0
Website Development,Intermediate,Technology,HTML,Competitive,United Kingdom,15.0
Website Development,Expert,Technology,Python,Uncompetitive,Japan,5.0
Website Development,Expert,Technology,Python,Uncompetitive,Japan,5.0
Website Development,Expert,Retail,SQL,Competitive,United States,60.0
Website Development,Expert,Technology,Python,Uncompetitive,Japan,5.0
Website Development,Intermediate,Technology,PHP,Competitive,Pakistan,15.0
Website Development,Intermediate,Technology,HTML,Uncompetitive,Costa Rica,11.0
Website Development,Expert,Technology,Firebase,Competitive,United States,25.0
Website Development,Intermediate,Technology,HTML,Competitive,Australia,17.0
Website Development,Intermediate,Entertainment,MongoDB,Competitive,Australia,15.0
Website Development,Expert,Technology,React,Extremely Competitive,United States,25.0
Website Development,Intermediate,Technology,Flutter,Competitive,United States,15.0
Website Development,Expert,Technology,Node.js,Competitive,United States,5.0
Website Development,Intermediate,Entertainment,HTML,Uncompetitive,United States,3.0
Website Development,Intermediate,Technology,SQL,Uncompetitive,United Kingdom,15.0
Website Development,Intermediate,Marketing,WordPress,Competitive,United States,5.0
Website Development,Expert,Technology,HTML,Competitive,Australia,20.0
Website Development,Intermediate,Retail,MongoDB,Competitive,United States,40.0
